name,brand,price,original_price,discount,url,image_url
Princess Siyah Kadın Kol Çanta,Kombinoloji,239.25,478.5,,https://justyol.com/en/products/princess-siyah-kadin-kol-canta,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/princess-siyah-kadin-kol-canta-846-1e.jpg?v=1744899330
Anna Bordo Kadın Büyük Kol Çantası,Kombinoloji,301.95,765.6,,https://justyol.com/en/products/anna-bordo-kadin-buyuk-kol-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/anna-bordo-kadin-kol-cantasi-caf3ad.jpg?v=1745057338
"keçe kapakli kutu, dekoratif kutu, salon aksesuari, çalişma odasi düzenleyici mini",Justyol,111.87,283.8,,https://justyol.com/en/products/kece-kapakli-kutu-dekoratif-kutu-salon-aksesuari-calisma-odasi-duzenleyici-mini-1,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/kece-kapakli-kutu-dekoratif-kutu-salon-42-fc7_ab59ee12-2ad6-4bd3-8042-761fe321704d.jpg?v=1744814263
baby bakim çantasi 30x20x21cm,JKids,87.12,221.1,,https://justyol.com/en/products/baby-bakim-cantasi-30x20x21cm-1,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/alas-baby-alt-bakim-cantasi-mavi-5a1-41_1799de1a-8a57-420d-b4b6-225fc84d04c6.jpg?v=1744808016
baby girlyuvarlak torbali oyuncak &amp; kirli sepeti,Justyol,96.03,242.55,,https://justyol.com/en/products/baby-girlyuvarlak-torbali-oyuncak-amp-kirli-sepeti-1,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/baby-girl-pembe-yuvarlak-torbali-oyunc--0301b_aaba896f-f7a1-4b0a-a446-f77f0528385c.jpg?v=1744806369
Simple Siyah Kol Çantası,JWomen,151.8,526.35,,https://justyol.com/en/products/simple-siyah-kol-cantasi-copy,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/simple-siyah-kol-cantasi-53-52e.jpg?v=1741611668
010173 suni deri omuz çantasi,JWomen,85.14,292.05,,https://justyol.com/en/products/010173-suni-deri-omuz-cantasi-1,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/010173-suni-deri-omuz-cantasi-siyah-99666_06646431-d7ac-42a4-a3a0-4bd7808d17ba.jpg?v=1744643837
Doku Detaylı Vizon Büyük Omuz Çantası,JWomen,181.5,495.0,,https://justyol.com/en/products/doku-detayli-vizon-buyuk-omuz-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/serit-detayli-vizon-kol-cantasi-5b-328.jpg?v=1744621126
Simple Bordo Kol Çantası,JWomen,250.47,635.25,,https://justyol.com/en/products/simple-bordo-kol-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/simple-bordo-kol-cantasi--6a2235.jpg?v=1744619818
Camille Bordo Kol Çantası,JWomen,241.56,651.75,,https://justyol.com/en/products/camille-bordo-kol-cantasi,https://cdn.shopify.com/s/files/1/0707/0839/6286/files/camille-bordo-kol-cantasi--1b65c3.jpg?v=1744458616
